animal_type,month,year,intake_type,outcome_type,chip_status,time_at_shelter
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,10
DOG,1,2017,CONFISCATED,ADOPTION,SCAN NO CHIP,13
DOG,6,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
DOG,4,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,3
DOG,1,2017,STRAY,EUTHANIZED,SCAN NO CHIP,5
DOG,1,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,6
DOG,7,2017,STRAY,EUTHANIZED,SCAN NO CHIP,12
DOG,3,2017,STRAY,EUTHANIZED,SCAN NO CHIP,1
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,9
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,6
DOG,10,2016,STRAY,ADOPTION,SCAN NO CHIP,14
DOG,1,2017,STRAY,ADOPTION,SCAN CHIP,12
DOG,5,2017,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
DOG,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,16
DOG,9,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,3
DOG,3,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,5,2017,STRAY,ADOPTION,SCAN NO CHIP,9
CAT,7,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,5
CAT,4,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,7,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,7
CAT,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,15
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,0
CAT,9,2017,STRAY,EUTHANIZED,SCAN NO CHIP,3
DOG,2,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,5,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,7,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,3
DOG,9,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,9
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,10
CAT,7,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,8,2017,STRAY,ADOPTION,SCAN NO CHIP,5
DOG,3,2017,OWNER SURRENDER,ADOPTION,UNABLE TO SCAN,12
CAT,1,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
WILDLIFE,2,2017,STRAY,ADOPTION,SCAN NO CHIP,2
DOG,6,2017,STRAY,ADOPTION,SCAN NO CHIP,7
DOG,1,2017,OWNER SURRENDER,EUTHANIZED,SCAN CHIP,0
DOG,7,2017,OWNER SURRENDER,RETURNED TO OWNER,SCAN NO CHIP,11
DOG,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,1,2017,CONFISCATED,RETURNED TO OWNER,SCAN NO CHIP,1
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
CAT,6,2017,STRAY,EUTHANIZED,SCAN NO CHIP,0
DOG,9,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,2
DOG,11,2016,CONFISCATED,ADOPTION,SCAN NO CHIP,6
DOG,7,2017,STRAY,ADOPTION,SCAN NO CHIP,23
DOG,5,2017,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,0
DOG,11,2016,OWNER SURRENDER,EUTHANIZED,SCAN NO CHIP,1
DOG,10,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,3
DOG,4,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,9
DOG,11,2016,OWNER SURRENDER,ADOPTION,SCAN CHIP,1
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,12,2016,STRAY,EUTHANIZED,SCAN NO CHIP,20
DOG,9,2017,STRAY,RETURNED TO OWNER,SCAN NO CHIP,5
CAT,8,2017,STRAY,EUTHANIZED,SCAN NO CHIP,12
DOG,3,2017,STRAY,ADOPTION,SCAN NO CHIP,4
DOG,8,2017,STRAY,RETURNED TO OWNER,SCAN CHIP,0
DOG,7,2017,OWNER SURRENDER,RETURNED TO OWNER,SCAN NO CHIP,2
DOG,2,2017,CONFISCATED,EUTHANIZED,UNABLE TO SCAN,18
DOG,1,2017,STRAY,ADOPTION,UNABLE TO SCAN,29
DOG,10,2016,STRAY,EUTHANIZED,SCAN NO CHIP,4
DOG,8,2017,OWNER SURRENDER,ADOPTION,SCAN CHIP,10
CAT,3,2017,OWNER SURRENDER,ADOPTION,SCAN NO CHIP,3
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,10
DOG,11,2016,STRAY,ADOPTION,SCAN NO CHIP,5
CAT,12,2016,STRAY,ADOPTION,UNABLE TO SCAN,3
DOG,9,2017,STRAY,RETURNED TO OWNER,UNABLE TO SCAN,0
